Bulan,Banyaknya Hari Hujan Menurut Bulan (Hari),Banyaknya Curah Hujan Menurut Bulan (mm),Kecepatan Angin Menurut Bulan (knot),Penyinaran Matahari Menurut Bulan (Persen),Tekanan Udara Menurut Bulan (mb),Kelembaban Udara Menurut Bulan (Persen),Suhu Udara Menurut Bulan (°C)
Januari,24,581.8,10,34,1009.6,86,25.7
Februari,26,276,10,25,1010.3,87,26
Maret,23,265,10,42,1010.5,83,26.4
April,19,164.1,9,55,1011.5,79,27
Mei,13,65.1,7,59,1011.1,78,27.6
Juni,20,240.2,9,54,1012.3,82,26.9
Juli,1,5,8,71,1012.4,73,26.6
Agustus,7,54,8,71,1012.8,73,27.3
September,9,61.1,10,63,1012.4,70,27.7
Oktober,12,74,10,68,1012,71,28.2
November,24,303.4,10,36,1010.3,82,27
Desember,22,232,10,38,1011.6,82,27
